,datetime_jd,datetime_str,CDS,PRK,MDS,LOV,EFE,AVN,GOL,GBT,VLA,ARE,FAS,ECD,USU,TYN,G13,G14
0,2462240.063,2029-Apr-13 13:30,76.98286626,78.73574193,-67.1409803,-57.38533717,-55.16967565,-60.85322346,-13.52281677,-42.62888417,-20.24187144,-51.47888982,20.02845571,17.05644605,26.31644176,-42.62888417,-13.52281677,-13.52281677
1,2462240.066,2029-Apr-13 13:35,77.35513773,79.26578441,-66.37964337,-56.88289747,-54.50793195,-59.99532269,-14.41357939,-43.53170575,-21.17111463,-52.56378423,20.86909772,17.44140009,26.66191757,-43.53170575,-14.41357939,-14.41357939
2,2462240.069,2029-Apr-13 13:40,77.64370308,79.70691212,-65.60045157,-56.36296387,-53.8340969,-59.11937166,-15.30936044,-44.43467372,-22.10440807,-53.65097816,21.70301828,17.81291975,26.98977498,-44.43467372,-15.30936044,-15.30936044
3,2462240.073,2029-Apr-13 13:45,77.90597409,80.14859219,-64.5777413,-55.67941851,-52.95657493,-57.94444761,-16.4862417,-45.61420585,-23.32753831,-55.06220939,22.76365554,18.25799284,27.37109554,-45.61420585,-16.4862417,-16.4862417
4,2462240.076,2029-Apr-13 13:50,77.97907553,80.33894078,-63.76305475,-55.12221246,-52.25747254,-57.0321953,-17.39271076,-46.51636304,-24.26934399,-56.15400119,23.57985837,18.59689431,27.65636976,-46.51636304,-17.39271076,-17.39271076
5,2462240.08,2029-Apr-13 13:55,77.94955901,80.42326869,-62.69907633,-54.39334094,-51.34984522,-55.81525045,-18.58212448,-47.69345844,-25.5022235,-57.56963777,24.61418618,18.99737528,27.97991464,-47.69345844,-18.58212448,-18.58212448
6,2462240.083,2029-Apr-13 14:00,77.79279438,80.32133794,-61.8548579,-53.80219318,-50.62806385,-54.87198185,-19.49870484,-48.59340278,-26.45204506,-58.66605679,25.41061006,19.30216076,28.22068732,-48.59340278,-19.49870484,-19.49870484
7,2462240.087,2029-Apr-13 14:05,77.47080317,80.02690539,-60.7565786,-53.03224475,-49.69356289,-53.61918088,-20.69987417,-49.76612364,-27.69400022,-60.08604373,26.41574079,19.656176,28.48413446,-49.76612364,-20.69987417,-20.69987417
8,2462240.09,2029-Apr-13 14:10,77.09773608,79.64513904,-59.88745475,-52.41021175,-48.95134983,-52.64906363,-21.6259988,-50.66217171,-28.6513341,-61.18710112,27.19007676,19.92537392,28.67859785,-50.66217171,-21.6259988,-21.6259988
9,2462240.094,2029-Apr-13 14:15,76.51578858,79.0201895,-58.76032856,-51.60309105,-47.99281274,-51.365288,-22.83813969,-51.82816643,-29.90166038,-62.61131068,28.16276971,20.2310925,28.87979614,-51.82816643,-22.83813969,-22.83813969
10,2462240.097,2029-Apr-13 14:20,75.95995866,78.41369354,-57.8698508,-50.95290389,-47.23207342,-50.37158305,-23.77325102,-52.71827676,-30.86599534,-63.71700878,28.91248012,20.46330785,29.02631864,-52.71827676,-23.77325102,-23.77325102
11,2462240.101,2029-Apr-13 14:25,75.16721257,77.53935175,-56.71810921,-50.11211714,-46.25193972,-49.06065008,-24.99560412,-53.87470242,-32.12398828,-65.1452666,29.84917303,20.71899525,29.16335785,-53.87470242,-24.99560412,-24.99560412
12,2462240.104,2029-Apr-13 14:30,74.46763112,76.77068987,-55.80903622,-49.43623061,-45.47432192,-48.04590185,-25.93914175,-54.75636262,-33.09478659,-66.25553774,30.57142047,20.91287884,29.2604686,-54.75636262,-25.93914175,-25.93914175
13,2462240.108,2029-Apr-13 14:35,73.51283469,75.72117542,-54.63598177,-48.56490265,-44.47469349,-46.71082253,-27.17091204,-55.89967982,-34.35967639,-67.68752131,31.46819623,21.11693054,29.33173245,-55.89967982,-27.17091204,-27.17091204
14,2462240.111,2029-Apr-13 14:40,72.7039109,74.83966956,-53.71043544,-47.86548168,-43.68159563,-45.67699306,-28.1223064,-56.76976594,-35.3363643,-68.80218983,32.15985214,21.27121715,29.37816951,-56.76976594,-28.1223064,-28.1223064
15,2462240.115,2029-Apr-13 14:45,71.62696743,73.66868029,-52.51863321,-46.96637974,-42.66427515,-44.3200755,-29.36271387,-57.89559573,-36.60735891,-70.23736823,33.01242163,21.42214453,29.38232717,-57.89559573,-29.36271387,-29.36271387
16,2462240.118,2029-Apr-13 14:50,70.73519342,72.70780098,-51.57821994,-46.24529387,-41.85685597,-43.26866266,-30.32135785,-58.75016284,-37.58929291,-71.35604835,33.67007768,21.53569592,29.37708714,-58.75016284,-30.32135785,-30.32135785
17,2462240.122,2029-Apr-13 14:55,69.56582209,71.45077382,-50.36966693,-45.32084672,-40.82338566,-41.89169404,-31.56956056,-59.85295386,-38.8654928,-72.79343499,34.47377944,21.63217962,29.31315524,-59.85295386,-31.56956056,-31.56956056
18,2462240.125,2029-Apr-13 15:00,68.61035628,70.43210755,-49.41562515,-44.57974478,-40.00264194,-40.82381077,-32.5348137,-60.6870112,-39.85195198,-73.91530094,35.09368556,21.70393641,29.25544732,-60.6870112,-32.5348137,-32.5348137
19,2462240.128,2029-Apr-13 15:05,67.631133,69.3924361,-48.45549986,-43.82994011,-39.17590062,-39.74856181,-33.50299902,-61.51015324,-40.84038401,-75.0387463,35.69644493,21.75739374,29.17480626,-61.51015324,-33.50299902,-33.50299902
20,2462240.132,2029-Apr-13 15:10,66.36402539,68.04911889,-47.22507452,-42.87232759,-38.12105131,-38.34455957,-34.76106939,-62.56687579,-42.12248763,-76.47639599,36.42164207,21.77389724,29.01211313,-62.56687579,-34.76106939,-34.76106939
21,2462240.135,2029-Apr-13 15:15,65.33894958,66.96964963,-46.25248425,-42.10439451,-37.28204741,-37.2538546,-35.73482779,-63.35973961,-43.11418981,-77.60014877,36.98078255,21.78427317,28.87830753,-63.35973961,-35.73482779,-35.73482779
22,2462240.139,2029-Apr-13 15:20,64.02044816,65.58237031,-45.00838272,-41.12605893,-36.21384752,-35.83239542,-36.99834219,-64.37257142,-44.39871899,-79.03183366,37.64427346,21.74384213,28.6465359,-64.37257142,-36.99834219,-36.99834219
23,2462240.142,2029-Apr-13 15:25,62.95745501,64.47037915,-44.02383994,-40.3410615,-35.3631428,-34.72662438,-37.97683739,-65.1260426,-45.39261011,-80.15047681,38.15539502,21.71043337,28.45942217,-65.1260426,-37.97683739,-37.97683739
24,2462240.146,2029-Apr-13 15:30,61.59652987,63.04716395,-42.76682799,-39.34348269,-34.2824589,-33.28824776,-39.24460432,-66.08211956,-46.67802455,-81.56410843,38.75139389,21.6123916,28.15877199,-66.08211956,-39.24460432,-39.24460432
25,2462240.149,2029-Apr-13 15:35,60.50111797,61.90737428,-41.7706544,-38.54230316,-33.42049227,-32.16759677,-40.2268384,-66.78456526,-47.67275174,-82.6633057,39.20987798,21.53464579,27.91845597,-66.78456526,-40.2268384,-40.2268384
26,2462240.153,2029-Apr-13 15:40,59.10402381,60.45349849,-40.5012123,-37.52668513,-32.32798698,-30.71254847,-41.49749093,-67.66759936,-48.95718191,-84.02461387,39.73246375,21.37855218,27.54946668,-67.66759936,-41.49749093,-41.49749093
27,2462240.156,2029-Apr-13 15:45,57.97996765,59.28894853,-39.49354702,-36.71002889,-31.45507295,-29.57698841,-42.48228965,-68.30442244,-49.95106623,-85.05682364,40.13354211,21.25605216,27.25626316,-68.30442244,-42.48228965,-42.48228965
28,2462240.16,2029-Apr-13 15:50,56.55112834,57.80794625,-38.21199419,-35.67740794,-30.35131014,-28.10531607,-43.75417534,-69.09417879,-51.23214328,-86.23533142,40.57669369,21.04165522,26.8197498,-69.09417879,-43.75417534,-43.75417534
29,2462240.163,2029-Apr-13 15:55,55.40095274,56.62051651,-37.19279515,-34.84579341,-29.46762614,-26.95461645,-44.7401141,-69.64753797,-52.22304939,-86.98374351,40.91556482,20.87414031,26.47417914,-69.64753797,-44.7401141,-44.7401141
30,2462240.167,2029-Apr-13 16:00,53.9434022,55.11465653,-35.8992283,-33.796971,-28.35299749,-25.4661264,-46.01123683,-70.31979334,-53.49776602,-87.38449127,41.27337701,20.60141706,25.97122817,-70.31979334,-46.01123683,-46.01123683
31,2462240.17,2029-Apr-13 16:05,52.76874722,53.90544319,-34.86831465,-32.95076426,-27.45861605,-24.29989526,-46.99652646,-70.76889045,-54.48290555,-87.15328443,41.54530672,20.38877765,25.57399085,-70.76889045,-46.99652646,-46.99652646
32,2462240.174,2029-Apr-13 16:10,51.2845588,52.37615541,-33.56269023,-31.88638655,-26.33341673,-22.79420948,-48.26440273,-71.29640139,-55.74735151,-86.25647096,41.81209835,20.05788831,25.00589109,-71.29640139,-48.26440273,-48.26440273
33,2462240.177,2029-Apr-13 16:15,50.08635804,51.1456381,-32.5197082,-31.02577484,-25.42827343,-21.61184809,-49.24681118,-71.61886142,-56.72308653,-85.33379004,42.01256132,19.80014839,24.55781843,-71.61886142,-49.24681118,-49.24681118
