,targetname,datetime_jd,datetime_str,H,G,x,y,z,vx,vy,vz,lighttime,range,range_rate,delta (Rt)
0,99942 Apophis (2004 MN4),2462240.0625,A.D. 2029-Apr-13 13:30:00.0000,19.09,0.24,-0.001105260578987439,-0.000581544092549442,-0.0003184461958853054,0.002557890950257132,0.002287600629906654,0.0009934267672787839,7.443929463897551e-06,0.001288876432679496,-0.003471108266548305,30.165653894711962
1,99942 Apophis (2004 MN4),2462240.065972222,A.D. 2029-Apr-13 13:35:00.0000,19.09,0.24,-0.001096376237538104,-0.0005735995756329155,-0.0003149959955495766,0.002559495125549149,0.002288443145092176,0.000993889959990497,7.374321045951419e-06,0.001276824108723178,-0.003471027042618609,29.882972703703718
2,99942 Apophis (2004 MN4),2462240.069444444,A.D. 2029-Apr-13 13:40:00.0000,19.09,0.24,-0.001087486269214272,-0.0005656521120185449,-0.0003115441728926737,0.002561132193612637,0.00228929796743672,0.0009943612587194534,7.304714458425022e-06,0.001264772101694213,-0.003470925532386821,29.600299324828054
3,99942 Apophis (2004 MN4),2462240.072916667,A.D. 2029-Apr-13 13:45:00.0000,19.09,0.24,-0.001078590558077281,-0.0005577016585586838,-0.0003080906994057348,0.002562803156432036,0.002290165336271123,0.0009948408737301526,7.235110119415699e-06,0.00125272048398391,-0.003470802600678986,29.317635477565673
4,99942 Apophis (2004 MN4),2462240.076388889,A.D. 2029-Apr-13 13:50:00.0000,19.09,0.24,-0.001069688984638637,-0.0005497481712674182,-0.0003046355458374975,0.002564509056424147,0.002291045495415105,0.0009953290223649154,7.165508470430647e-06,0.001240669332036873,-0.00347065704687372,29.03498297685884
5,99942 Apophis (2004 MN4),2462240.079861111,A.D. 2029-Apr-13 13:55:00.0000,19.09,0.24,-0.00106078142571817,-0.0005417916053039779,-0.0003011786821694355,0.002566250978458224,0.002291938693145806,0.0009958259293279044,7.095909977749033e-06,0.001228618726586834,-0.0034704876006634,28.75234374085149
6,99942 Apophis (2004 MN4),2462240.083333333,A.D. 2029-Apr-13 14:00:00.0000,19.09,0.24,-0.001051867754291633,-0.0005338319149581801,-0.0002977200775894458,0.002568030051995631,0.002292845182151713,0.0009963318269823895,7.026315133859782e-06,0.001216568752905608,-0.003470292917508752,28.469719794642035
7,99942 Apophis (2004 MN4),2462240.086805556,A.D. 2029-Apr-13 14:05:00.0000,19.09,0.24,-0.001042947839332127,-0.0005258690536346943,-0.0002942597004650699,0.002569847453357404,0.002293765219464389,0.0009968469556606047,6.956724458998505e-06,0.0012045195010692,-0.003470071573755507,28.18711327802348
8,99942 Apophis (2004 MN4),2462240.090277778,A.D. 2029-Apr-13 14:10:00.0000,19.09,0.24,-0.00103402154564017,-0.0005179029738445781,-0.0002907975183144566,0.002571704408128722,0.002294699066369252,0.0009973715639876191,6.887138502785641e-06,0.001192471066241437,-0.003469822061394298,27.904526451581695
9,99942 Apophis (2004 MN4),2462240.09375,A.D. 2029-Apr-13 14:15:00.0000,19.09,0.24,-0.001025088733683326,-0.0005099336271660227,-0.0002873334977789236,0.002573602193707546,0.002295646988290078,0.000997905909219127,6.81755784599027e-06,0.001180423548979371,-0.003469542782397997,27.621961703497366
10,99942 Apophis (2004 MN4),2462240.097222222,A.D. 2029-Apr-13 14:20:00.0000,19.09,0.24,-0.001016149259387629,-0.0005019609642667949,-0.0002838676045898309,0.002575542142013127,0.002296609254646845,0.0009984502575947748,6.747983102363256e-06,0.001168377055550667,-0.003469232042690173,27.339421558458845
11,99942 Apophis (2004 MN4),2462240.100694444,A.D. 2029-Apr-13 14:25:00.0000,19.09,0.24,-0.001007202973959678,-0.0004939849348666411,-0.0002803998035383334,0.002577525642358038,0.002297586138679484,0.0009990048847062487,6.678414920651912e-06,0.001156331698282441,-0.003468888045592725,27.056908685402288
12,99942 Apophis (2004 MN4),2462240.104166667,A.D. 2029-Apr-13 14:30:00.0000,19.09,0.24,-0.0009982497236780612,-0.0004860054877300739,-0.0002769300584418391,0.002579554144500954,0.002298577917236525,0.0009995700758817932,6.608853986720635e-06,0.001144287595928433,-0.00346850888479934,26.77442590478268
13,99942 Apophis (2004 MN4),2462240.107638889,A.D. 2029-Apr-13 14:35:00.0000,19.09,0.24,-0.000989289349678004,-0.0004780225706546001,-0.0002734583321095953,0.002581629161890733,0.002299584870522866,0.001000146126587331,6.539301025825874e-06,0.001132244874062904,-0.003468092536797571,26.49197620053586
14,99942 Apophis (2004 MN4),2462240.111111111,A.D. 2029-Apr-13 14:40:00.0000,19.09,0.24,-0.0009803216877246575,-0.0004700361304590727,-0.0002699845863068082,0.002583752275116048,0.002300607281801437,0.001000733342844811,6.469756805048174e-06,0.001120203665501732,-0.003467636852696478,26.209562728522265
15,99942 Apophis (2004 MN4),2462240.114583333,A.D. 2029-Apr-13 14:45:00.0000,19.09,0.24,-0.0009713465679712528,-0.0004620461129742246,-0.0002665087817170306,0.002585925135575292,0.002301645437043285,0.0010013320416684,6.400222135882619e-06,0.001108164110750938,-0.003467139549410268,25.927188827316225
16,99942 Apophis (2004 MN4),2462240.118055556,A.D. 2029-Apr-13 14:50:00.0000,19.09,0.24,-0.0009623638147110756,-0.0004540524630336208,-0.000263030877903391,0.002588149469383108,0.002302699624520277,0.001001942551519295,6.330697877046692e-06,0.001096126358492843,-0.003466598200135969,25.644858029698856
17,99942 Apophis (2004 MN4),2462240.121527778,A.D. 2029-Apr-13 14:55:00.0000,19.09,0.24,-0.0009533732461025479,-0.0004460551244727343,-0.0002595508332675212,0.002590427081529935,0.002303770134328453,0.001002565212778333,6.261184937436052e-06,0.001084090566097852,-0.003466010224072995,25.36257407579285
18,99942 Apophis (2004 MN4),2462240.125,A.D. 2029-Apr-13 15:00:00.0000,19.09,0.24,-0.0009443746739060641,-0.0004380540400989838,-0.000256068605008996,0.002592759860313957,0.002304857257844861,0.001003200378239997,6.191684279359858e-06,0.001072056900184631,-0.003465372875275305,25.080340925493548
19,99942 Apophis (2004 MN4),2462240.128472222,A.D. 2029-Apr-13 15:05:00.0000,19.09,0.24,-0.0009353679031618573,-0.0004300491517249872,-0.0002525841490790794,0.002595149782068148,0.002305961287096395,0.001003848413624914,6.122196921929844e-06,0.001060025537206908,-0.003464683230658302,24.798162772307368
20,99942 Apophis (2004 MN4),2462240.131944444,A.D. 2029-Apr-13 15:10:00.0000,19.09,0.24,-0.0009263527318913751,-0.0004220404001435223,-0.0002490974201359934,0.0025975989161986,0.00230708251403709,0.001004509698112864,6.052723944765704e-06,0.001047996664095037,-0.003463938176943742,24.516044059770255
21,99942 Apophis (2004 MN4),2462240.135416667,A.D. 2029-Apr-13 15:15:00.0000,19.09,0.24,-0.0009173289507623964,-0.0004140277251345743,-0.0002456083714975682,0.00260010943056327,0.002308221229721502,0.001005184624896555,5.983266491949615e-06,0.001035970478940707,-0.003463134396550229,24.233989496224282
22,99942 Apophis (2004 MN4),2462240.138888889,A.D. 2029-Apr-13 15:20:00.0000,19.09,0.24,-0.0009082963427348256,-0.0004060110654703855,-0.0002421169550910384,0.002602683597214428,0.002309377723360536,0.001005873601756153,5.913825776261908e-06,0.001023947191730322,-0.003462268352290496,23.952004074285238
23,99942 Apophis (2004 MN4),2462240.142361111,A.D. 2029-Apr-13 15:25:00.0000,19.09,0.24,-0.0008992546826911462,-0.0003979903589241892,-0.0002386231214015687,0.002605323798532889,0.002310552281244581,0.001006577051654354,5.844403083764859e-06,0.001011927025138664,-0.003461336270765183,23.67009308749562
24,99942 Apophis (2004 MN4),2462240.145833333,A.D. 2029-Apr-13 15:30:00.0000,19.09,0.24,-0.0008902037370401796,-0.0003899655422815125,-0.0002351268194184444,0.002608032533784728,0.002311745185519614,0.001007295413352636,5.77499977870609e-06,0.0009999102153778854,-0.003460334124333502,23.38826215237229
25,99942 Apophis (2004 MN4),2462240.149305556,A.D. 2029-Apr-13 15:35:00.0000,19.09,0.24,-0.0008811432632993291,-0.000381936551357567,-0.0002316279965792737,0.002610812426132706,0.002312956712795936,0.001008029142047776,5.705617308813127e-06,0.0009878970131142364,-0.003459257611522409,23.106517229750413
26,99942 Apophis (2004 MN4),2462240.152777778,A.D. 2029-Apr-13 15:40:00.0000,19.09,0.24,-0.0008720730096483351,-0.0003739033210251854,-0.000228126598710974,0.002613666230138187,0.002314187132569008,0.00100877871002817,5.636257210991277e-06,0.0009758876844546228,-0.003458102135729759,22.824864647769335
27,99942 Apophis (2004 MN4),2462240.15625,A.D. 2029-Apr-13 15:45:00.0000,19.09,0.24,-0.000862992714474863,-0.0003658657852178999,-0.0002246225699713865,0.002616596839789634,0.0023154367054288,0.001009544607348999,5.566921117500184e-06,0.0009638825120160408,-0.003456862782005215,22.543311127672972
28,99942 Apophis (2004 MN4),2462240.159722222,A.D. 2029-Apr-13 15:50:00.0000,19.09,0.24,-0.0008539021058515612,-0.0003578238770009707,-0.000221115852783604,0.002619607297106226,0.002316705681033429,0.001010327342526141,5.497610762540726e-06,0.0009518817960660645,-0.003455534291849878,22.26186381195573
29,99942 Apophis (2004 MN4),2462240.163194444,A.D. 2029-Apr-13 15:55:00.0000,19.09,0.24,-0.0008448009010220822,-0.000349777528589302,-0.0002176063877723726,0.002622700801351882,0.002317994295812896,0.001011127443245342,5.428327989447526e-06,0.0009398858557681896,-0.003454111035659392,21.980530292508426
30,99942 Apophis (2004 MN4),2462240.166666667,A.D. 2029-Apr-13 16:00:00.0000,19.09,0.24,-0.000835688805834712,-0.0003417266714031975,-0.0002140941136958681,0.002625880718916409,0.002319302770372912,0.00101194545708609,5.359074758421482e-06,0.0009278950305206809,-0.003452586982707634,21.69931864415882
31,99942 Apophis (2004 MN4),2462240.170138889,A.D. 2029-Apr-13 16:05:00.0000,19.09,0.24,-0.0008265655141427285,-0.0003336712361288931,-0.0002105789673753468,0.002629150593913581,0.002320631306558736,0.001012781952256803,5.289853154892911e-06,0.0009159096814046044,-0.00345095566837016,21.418237458212165
32,99942 Apophis (2004 MN4),2462240.173611111,A.D. 2029-Apr-13 16:10:00.0000,19.09,0.24,-0.0008174307071694998,-0.0003256111527888888,-0.0002070608836222297,0.002632514159554138,0.002321980084136095,0.001013637518337917,5.220665398584584e-06,0.0009039301927530444,-0.00344921015830915,21.137295879744556
33,99942 Apophis (2004 MN4),2462240.177083333,A.D. 2029-Apr-13 16:15:00.0000,19.09,0.24,-0.000808284052829754,-0.00031754635082527,-0.0002035397951625963,0.002635975350356479,0.002323349257040398,0.001014512767028732,5.151513853312475e-06,0.0008919569738480491,-0.003447343009311949,20.856503649821764
34,99942 Apophis (2004 MN4),2462240.180555556,A.D. 2029-Apr-13 16:20:00.0000,19.09,0.24,-0.0007991252050076205,-0.0003094767591964942,-0.0002000156325591779,0.002639538315262166,0.002324738949138553,0.001015408332892514,5.082401037611322e-06,0.0008799904607603907,-0.003445346226430862,20.575871146545406
35,99942 Apophis (2004 MN4),2462240.184027778,A.D. 2029-Apr-13 16:25:00.0000,19.09,0.24,-0.0007899538027860609,-0.0003014023064962861,-0.0001964883241300092,0.002643207431730086,0.002326149249440508,0.001016324874093452,5.013329636264586e-06,0.0008680311183459148,-0.003443211216046221,20.295409436184645
36,99942 Apophis (2004 MN4),2462240.1875,A.D. 2029-Apr-13 16:30:00.0000,19.09,0.24,-0.0007807694696406412,-0.0002933229210587519,-0.0001929577958672176,0.002646987320885114,0.002327580206687956,0.001017263073116832,4.944302512840009e-06,0.0008560794424160071,-0.003440928734358631,20.01513032243156
37,99942 Apophis (2004 MN4),2462240.190972222,A.D. 2029-Apr-13 16:35:00.0000,19.09,0.24,-0.000771571812543856,-0.0002852385311463072,-0.0001894239713486265,0.002650882863815517,0.002329031823242349,0.001018223637464385,4.875322723243806e-06,0.0008441359620844259,-0.003438488830984658,19.73504640410025
38,99942 Apophis (2004 MN4),2462240.194444444,A.D. 2029-Apr-13 16:40:00.0000,19.09,0.24,-0.0007623604210473386,-0.0002771490650969215,-0.0001858867716515515,0.002654899219099513,0.002330504048175153,0.001019207300310702,4.806393530532012e-06,0.0008322012423318106,-0.003435880786904279,19.45517113493692
39,99942 Apophis (2004 MN4),2462240.197916667,A.D. 2029-Apr-13 16:45:00.0000,19.09,0.24,-0.0007531348662815973,-0.0002690544515295198,-0.0001823461152620112,0.002659041841670104,0.002331996769459192,0.001020214821108447,4.737518420987425e-06,0.0008202758867893148,-0.003433093046320397,19.175518891639143
40,99942 Apophis (2004 MN4),2462240.201388889,A.D. 2029-Apr-13 16:50:00.0000,19.09,0.24,-0.0007438946998933952,-0.0002609546195703521,-0.0001788019179827175,0.002663316503121501,0.002333509805139893,0.001021246986124524,4.668701121645045e-06,0.0008083605407730452,-0.003430113141688194,18.89610504633162
41,99942 Apophis (2004 MN4),2462240.204861111,A.D. 2029-Apr-13 16:55:00.0000,19.09,0.24,-0.0007346394529078279,-0.0002528494991133141,-0.0001752540928389956,0.002667729313573112,0.002335042893350792,0.001022304608887005,4.599945619386424e-06,0.0007964558945901434,-0.003426927611178699,18.61694604420195
42,99942 Apophis (2004 MN4),2462240.208333333,A.D. 2029-Apr-13 17:00:00.0000,19.09,0.24,-0.0007253686345129048,-0.0002447390211163697,-0.0001717025499837071,0.00267228674521537,0.002336595681017921,0.001023388530518498,4.531256181777866e-06,0.0007845626871468094,-0.003423521907730453,18.33805949145663
43,99942 Apophis (2004 MN4),2462240.211805556,A.D. 2029-Apr-13 17:05:00.0000,19.09,0.24,-0.0007160817307580698,-0.0002366231179401117,-0.0001681471966007056,0.002676995657669126,0.002338167711076231,0.001024499619926863,4.462637379818267e-06,0.0007726817098869683,-0.003419880298749458,18.05946424914076
44,99942 Apophis (2004 MN4),2462240.215277778,A.D. 2029-Apr-13 17:10:00.0000,19.09,0.24,-0.0007067782031596875,-0.0002285017237394514,-0.0001645879368083821,0.002681863325300209,0.00233975840799609,0.00102563877381873,4.394094112802818e-06,0.0007608138110972861,-0.003415985755413295,17.781180535870618
45,99942 Apophis (2004 MN4),2462240.21875,A.D. 2029-Apr-13 17:15:00.0000,19.09,0.24,-0.0006974574872252499,-0.0002203747748783138,-0.0001610246715646913,0.002686897466634936,0.002341367061387524,0.00102680691649385,4.325631635561409e-06,0.0007489599006233537,-0.003411819830319183,17.503230041120972
46,99942 Apophis (2004 MN4),2462240.222222222,A.D. 2029-Apr-13 17:20:00.0000,19.09,0.24,-0.0006881189908329513,-0.000212242210466428,-0.0001574572985696976,0.002692106276044773,0.002342992807422259,0.001028004999373286,4.257255588172641e-06,0.000737120955014509,-0.003407362522354624,17.225636048363423
47,99942 Apophis (2004 MN4),2462240.225694444,A.D. 2029-Apr-13 17:25:00.0000,19.09,0.24,-0.000678762092537952,-0.0002041039729031047,-0.000153885712174349,0.002697498457850511,0.002344634607766804,0.001029234000200367,4.188972028646717e-06,0.0007252980231827033,-0.003402592127033898,16.948423570635907
48,99942 Apophis (2004 MN4),2462240.229166667,A.D. 2029-Apr-13 17:30:00.0000,19.09,0.24,-0.0006693861397334134,-0.0001959600085302192,-0.0001503098032905961,0.002703083263029789,0.002346291225684687,0.001030494921847391,4.120787468699335e-06,0.000713492232596559,-0.003397485070846712,16.67161949877783
49,99942 Apophis (2004 MN4),2462240.232638889,A.D. 2029-Apr-13 17:35:00.0000,19.09,0.24,-0.0006599904466850311,-0.0001878102683670375,-0.0001467294593069845,0.002708870528699369,0.00234796119891179,0.001031788790645118,4.052708913043847e-06,0.0007017047960845968,-0.003392015727671669,16.395252764441793
50,99942 Apophis (2004 MN4),2462240.236111111,A.D. 2029-Apr-13 17:40:00.0000,19.09,0.24,-0.0006505742924241237,-0.0001796547089456495,-0.0001431445640106778,0.002714870720551593,0.002349642808852252,0.001033116654137957,3.984743902565818e-06,0.0006899370193106775,-0.003386156215185141,16.11935452046201
51,99942 Apophis (2004 MN4),2462240.239583333,A.D. 2029-Apr-13 17:45:00.0000,19.09,0.24,-0.0006411369184853332,-0.0001714932932603863,-0.0001395549975190968,0.002721094978425269,0.002351334045576499,0.001034479578149337,3.916900561786438e-06,0.0006781903089920386,-0.003379876168937955,15.843958335999279
52,99942 Apophis (2004 MN4),2462240.243055556,A.D. 2029-Apr-13 17:50:00.0000,19.09,0.24,-0.00063167752648336,-0.0001633259918473194,-0.000135960636222118,0.002727555165181396,0.002353032568028046,0.001035878643020705,3.849187651117541e-06,0.0006664661819469684,-0.003373142491487745,15.569100414906366
53,99942 Apophis (2004 MN4),2462240.246527778,A.D. 2029-Apr-13 17:55:00.0000,19.09,0.24,-0.0006221952755070142,-0.0001551527840166797,-0.0001323613527398075,0.002734263919046524,0.002354735658760649,0.001037314938862288,3.781614624391667e-06,0.0006547662750558304,-0.003365919073698792,15.294819833795511
