,Unnamed: 0,targetname,datetime_str,datetime_jd,H,G,solar_presence,flags,RA,DEC,RA_app,DEC_app,RA_rate,DEC_rate,AZ,EL,AZ_rate,EL_rate,sat_X,sat_Y,sat_PANG,siderealtime,airmass,magextinct,V,surfbright,illumination,illum_defect,sat_sep,sat_vis,ang_width,PDObsLon,PDObsLat,PDSunLon,PDSunLat,SubSol_ang,SubSol_dist,NPole_ang,NPole_dist,EclLon,EclLat,r,r_rate,delta,delta_rate,lighttime,vel_sun,vel_obs,elong,elongFlag,alpha,lunar_elong,lunar_illum,sat_alpha,sunTargetPA,velocityPA,OrbPlaneAng,constellation,TDB-UT,ObsEclLon,ObsEclLat,NPole_RA,NPole_DEC,GlxLon,GlxLat,solartime,earth_lighttime,RA_3sigma,DEC_3sigma,SMAA_3sigma,SMIA_3sigma,Theta_3sigma,Area_3sigma,RSS_3sigma,r_3sigma,r_rate_3sigma,SBand_3sigma,XBand_3sigma,DoppDelay_3sigma,true_anom,hour_angle,alpha_true,PABLon,PABLat,delta (Rt),hours,Longitude,Latitude
0,0,99942 Apophis (2004 MN4),2029-Apr-13 13:30,2462240.063,19.7,0.25,,,200.17701,-23.94602,200.58737,-24.10272,-4791.56,3011.925,,,,,634038.343,-120161.53,174.508,,999,,5.983,3.511,98.32338,0.0061,594358.6,*,0.364502,,,,,185.94,0.05,,,203.5044,-0.0165,1.004068733,-5.1501566,0.001286112,-6.0098982,0.01069626,28.3680165,6.1863549,165.0996,/T,14.8811,167.8,0.2874,0.0212,6.046,290.82,14.51239,Hya,69.185627,208.1337987,-14.3014819,,,311.484881,38.436693,,0,3.82,2.092,3.95,1.835,-16.685,22.77,4.355,0.7499,1.3e-06,0.42,1.54,5e-06,233.7582,,14.8796,205.574,-7.163,30.16565601,0.0,155.47171931007802,-23.94602
1,1,99942 Apophis (2004 MN4),2029-Apr-13 13:35,2462240.066,19.7,0.25,,,200.05465,-23.87547,200.46477,-24.03229,-4879.96,3073.449,,,,,633589.121,-119912.5,174.033,,999,,5.96,3.509,98.33648,0.0061,594570.6,*,0.36795,,,,,186.45,0.05,,,203.5076,-0.0163,1.004058402,-5.1535231,0.00127406,-6.0097484,0.01059603,28.3687347,6.1895141,165.1585,/T,14.8225,167.9,0.2852,0.0209,6.556,290.867,14.48224,Hya,69.185627,207.9992272,-14.279487,,,311.356425,38.522587,,0,3.855,2.113,3.987,1.852,-16.742,23.2,4.396,0.7464,1.4e-06,0.43,1.57,5e-06,233.7754,,14.821,205.5095,-7.1515,29.88297486,0.07200000062584877,154.26640243868536,-23.87547
2,2,99942 Apophis (2004 MN4),2029-Apr-13 13:40,2462240.069,19.7,0.25,,,199.93009,-23.80346,200.33998,-23.96041,-4970.83,3136.847,,,,,633132.074,-119658.26,173.545,,999,,5.938,3.507,98.34955,0.0061,594782.8,*,0.371464,,,,,186.97,0.05,,,203.5107,-0.0161,1.004048064,-5.1569506,0.001262008,-6.0095629,0.0104958,28.3694688,6.192732,165.2175,/T,14.7638,168.0,0.283,0.0206,7.079,290.915,14.45143,Hya,69.185627,207.8621123,-14.256994,,,311.225201,38.609977,,0,3.891,2.134,4.025,1.869,-16.799,23.63,4.438,0.743,1.4e-06,0.44,1.6,5e-06,233.793,,14.7623,205.4437,-7.1399,29.60030152,0.14400000125169754,153.05888556722368,-23.80346
3,3,99942 Apophis (2004 MN4),2029-Apr-13 13:45,2462240.073,19.7,0.25,,,199.80327,-23.72997,200.21292,-23.88705,-5064.27,3202.193,,,,,632666.989,-119398.66,173.045,,999,,5.915,3.505,98.36258,0.0061,594995.3,*,0.375045,,,,,187.51,0.05,,,203.5139,-0.0159,1.004037718,-5.160441,0.001249956,-6.0093399,0.01039557,28.3702195,6.1960104,165.2765,/T,14.705,168.1,0.2809,0.0203,7.616,290.964,14.41994,Hya,69.185627,207.7223813,-14.2339864,,,311.091116,38.698902,,0,3.927,2.156,4.063,1.887,-16.858,24.08,4.48,0.7396,1.4e-06,0.45,1.63,5e-06,233.8109,,14.7036,205.3767,-7.128,29.31763772,0.23999999463558197,151.48812318389972,-23.72997
4,4,99942 Apophis (2004 MN4),2029-Apr-13 13:50,2462240.076,19.7,0.25,,,199.67413,-23.65493,200.08353,-23.81215,-5160.37,3269.568,,,,,632193.644,-119133.53,172.53,,999,,5.892,3.504,98.37557,0.0062,595207.8,*,0.378696,,,,,188.06,0.05,,,203.5171,-0.0157,1.004027366,-5.1639961,0.001237906,-6.0090772,0.01029535,28.3709875,6.1993509,165.3355,/T,14.6462,168.3,0.2788,0.02,8.167,291.013,14.38774,Hya,69.185627,207.579959,-14.210447,,,310.954078,38.7894,,0,3.964,2.178,4.103,1.905,-16.917,24.55,4.523,0.7362,1.5e-06,0.46,1.66,5e-06,233.8292,,14.6449,205.3083,-7.1158,29.03498526,0.31199999526143074,150.27602631227674,-23.65493
5,5,99942 Apophis (2004 MN4),2029-Apr-13 13:55,2462240.08,19.7,0.25,,,199.54261,-23.57832,199.95176,-23.73566,-5259.23,3339.054,,,,,631711.811,-118862.7,172.002,,999,,5.869,3.502,98.38849,0.0062,595420.2,*,0.382419,,,,,188.63,0.05,,,203.5203,-0.0155,1.004017006,-5.1676179,0.001225855,-6.0087725,0.01019513,28.3717736,6.2027553,165.3945,/T,14.5875,168.4,0.2767,0.0198,8.733,291.063,14.35482,Hya,69.185627,207.4347669,-14.1863579,,,310.813986,38.881512,,0,4.002,2.201,4.143,1.923,-16.976,25.02,4.567,0.7328,1.5e-06,0.47,1.69,5e-06,233.848,,14.5862,205.2385,-7.1034,28.75234607,0.40799999982118607,148.7005637606381,-23.57832
6,6,99942 Apophis (2004 MN4),2029-Apr-13 14:00,2462240.083,19.7,0.25,,,199.40863,-23.50006,199.81752,-23.65754,-5360.96,3410.738,,,,,631221.25,-118585.98,171.459,,999,,5.846,3.5,98.40135,0.0062,595632.2,*,0.386215,,,,,189.21,0.05,,,203.5235,-0.0153,1.004006639,-5.1713083,0.001213806,-6.0084236,0.01009491,28.3725786,6.2062254,165.4534,/T,14.5288,168.5,0.2746,0.0195,9.313,291.113,14.32114,Hya,69.185627,207.2867237,-14.1617002,,,310.670739,38.975281,,0,4.04,2.224,4.183,1.941,-17.037,25.51,4.612,0.7295,1.5e-06,0.47,1.72,5e-06,233.8672,,14.5276,205.1673,-7.0907,28.46972217,0.48000000044703484,147.48362688885345,-23.50006
7,7,99942 Apophis (2004 MN4),2029-Apr-13 14:05,2462240.087,19.7,0.25,,,199.27212,-23.42012,199.68077,-23.57774,-5465.67,3484.714,,,,,630721.717,-118303.2,170.901,,999,,5.822,3.499,98.41412,0.0062,595843.8,*,0.390088,,,,,189.81,0.05,,,203.5267,-0.0151,1.003996265,-5.1750693,0.001201757,-6.0080279,0.00999471,28.3734033,6.209763,165.5122,/T,14.4703,168.7,0.2725,0.0192,9.909,291.165,14.28669,Hya,69.185626,207.1357449,-14.1364543,,,310.524229,39.07075,,0,4.079,2.248,4.225,1.96,-17.098,26.02,4.657,0.7262,1.6e-06,0.48,1.76,5e-06,233.8869,,14.4691,205.0947,-7.0777,28.18711569,0.5759999938309193,145.90317450509835,-23.42012
8,8,99942 Apophis (2004 MN4),2029-Apr-13 14:10,2462240.09,19.7,0.25,,,199.13303,-23.33844,199.54141,-23.49619,-5573.48,3561.077,,,,,630212.954,-118014.15,170.328,,999,,5.799,3.497,98.42681,0.0062,596054.7,*,0.394038,,,,,190.42,0.05,,,203.5299,-0.0149,1.003985883,-5.1789031,0.001189709,-6.0075828,0.0098945,28.3742486,6.2133702,165.5707,/T,14.4119,168.8,0.2705,0.0189,10.521,291.216,14.25143,Hya,69.185626,206.9817424,-14.1105997,,,310.374342,39.167963,,0,4.119,2.272,4.267,1.98,-17.16,26.54,4.704,0.7229,1.6e-06,0.49,1.79,5e-06,233.907,,14.4108,205.0206,-7.0644,27.90452891,0.647999994456768,144.68112763315162,-23.33844
9,9,99942 Apophis (2004 MN4),2029-Apr-13 14:15,2462240.094,19.7,0.25,,,198.99126,-23.25496,199.39938,-23.41285,-5684.5,3639.93,,,,,629694.695,-117718.63,169.738,,999,,5.775,3.495,98.43938,0.0062,596264.6,*,0.398069,,,,,191.05,0.05,,,203.533,-0.0147,1.003975493,-5.182812,0.001177661,-6.0070854,0.00979431,28.3751154,6.2170489,165.6291,/T,14.3539,168.9,0.2685,0.0186,11.15,291.269,14.21534,Hya,69.185626,206.8246249,-14.0841151,,,310.220961,39.266967,,0,4.159,2.297,4.31,1.999,-17.223,27.07,4.751,0.7196,1.6e-06,0.5,1.83,5e-06,233.9276,,14.3528,204.945,-7.0508,27.62196421,0.7439999990165234,143.09541508108077,-23.25496
