,datetime_jd,datetime_str,Canberra DSS-43,Parkes,Madrid DSS-63,Lovell,Effelsberg,AVN-Ghana,Goldstone,Green Bank,Very Large Array,Arecibo 2,FAST,Galenki RT-70,Usuda Deep Space Center,Tyngsborough,DSS-13,DSS-14
0,2462240.063,2029-Apr-13 13:30,30.19107995,30.18472654,32.08287167,32.00098152,31.97911465,32.03465542,31.38354607,31.83282449,31.4966373,31.94101613,30.8086879,30.85764838,30.70943004,31.90582591,31.38354607,31.38354607
1,2462240.066,2029-Apr-13 13:35,29.90699858,29.90033554,31.79478018,31.71338341,31.6895755,31.74434426,31.11591713,31.56181516,31.22915827,31.67022638,30.51229686,30.56849163,30.4213215,31.63271396,31.11591713,31.11591713
2,2462240.069,2029-Apr-13 13:40,29.62326699,29.61630171,31.50639548,31.4255514,31.39980274,31.45367248,30.8483276,31.29064841,30.96166561,31.3991857,30.21610365,30.27957676,30.13350671,31.35941818,30.8483276,30.8483276
3,2462240.073,2029-Apr-13 13:45,29.33966235,29.33233307,31.2159768,31.13600932,31.107734,31.15996626,30.58543608,31.02278086,30.69879564,31.13120431,29.91640082,29.98947918,29.84490082,31.08876484,30.58543608,30.58543608
4,2462240.076,2029-Apr-13 13:50,29.05674876,29.04913532,30.92692745,30.84764985,30.81743834,30.86847582,30.31790833,30.75122797,30.43124155,30.85955954,29.62070309,29.70114659,29.55778643,30.81502651,30.31790833,30.31790833
5,2462240.08,2029-Apr-13 13:55,28.77420979,28.76625742,30.63565845,30.55743694,30.52470972,30.57371812,30.05505541,30.48282623,30.16824918,30.59075642,29.32169154,29.41183417,29.27011629,30.54377205,30.05505541,30.05505541
6,2462240.083,2029-Apr-13 14:00,28.49213743,28.48391972,30.34595398,30.26855912,30.23390429,30.28142388,29.78756247,30.21086431,29.90060564,30.31848438,29.02652972,29.1241086,28.98372674,30.26957207,29.78756247,29.78756247
7,2462240.087,2029-Apr-13 14:05,28.21068923,28.20215857,30.05384807,29.97768783,29.94053353,29.98563547,29.52471032,29.9418978,29.63745215,30.04882921,28.72825968,28.83561022,28.69702026,29.99769111,29.52471032,29.52471032
8,2462240.09,2029-Apr-13 14:10,27.92948142,27.92070494,29.76349973,29.68830228,29.64923303,29.69255433,29.25722545,29.66950498,29.36969155,29.77590809,28.43367497,28.54851662,28.41138003,29.72301145,29.25722545,29.25722545
9,2462240.094,2029-Apr-13 14:15,27.64914866,27.64008614,29.47057273,29.39678718,29.35524012,29.39575879,28.99433625,29.39994421,29.10633849,29.50537214,28.13619772,28.26086139,28.12566504,29.45047993,28.99433625,28.99433625
10,2462240.097,2029-Apr-13 14:20,27.36882904,27.35954087,29.17959327,29.10690577,29.06346048,29.1019097,28.7268332,29.12709979,28.83843395,29.23178186,27.84223162,27.97442452,27.84079829,29.17530382,28.7268332,28.7268332
