,date,date_jd,ra,dec,lon,lat,lonR,latR
0,2029-Apr-13 13:30,2462240.063,20.177009999999996,23.94602,-114.59019380787052,-25.094418229911938,-6.355273491497712,-25.097149576201183
1,2029-Apr-13 13:35,2462240.066,20.05465000000001,23.875470000000004,-114.4535823100102,-25.047769261276812,-7.165424171571317,-25.05048693248356
2,2029-Apr-13 13:40,2462240.069,19.93009,23.803460000000005,-114.31446551013113,-25.000088033278182,-7.973068836436482,-25.002791539841404
3,2029-Apr-13 13:45,2462240.073,19.803269999999987,23.729970000000005,-114.17277957607112,-24.95136548128726,-9.093735581738372,-24.954050083035238
4,2029-Apr-13 13:50,2462240.076,19.674129999999987,23.65493,-114.0284496237237,-24.901543523649714,-9.896165428928839,-24.90421283798353
5,2029-Apr-13 13:55,2462240.08,19.54260999999999,23.57832,-113.88141183696399,-24.850613023473358,-11.01147833505803,-24.85326192350581
6,2029-Apr-13 14:00,2462240.083,19.408629999999985,23.500060000000005,-113.73156937909374,-24.798509689311253,-11.808393896984512,-24.801142222475807
7,2029-Apr-13 14:05,2462240.087,19.27212,23.42012,-113.57884635322043,-24.74521633520372,-12.918019133388725,-24.74782700040464
8,2029-Apr-13 14:10,2462240.09,19.133029999999998,23.33844,-113.42318007112527,-24.690682669872764,-13.709108981566601,-24.69327593477263
9,2029-Apr-13 14:15,2462240.094,18.991260000000004,23.254959999999997,-113.26445837430748,-24.634867515851283,-14.812733269768842,-24.63743751825325
10,2029-Apr-13 14:20,2462240.097,18.846749999999993,23.169620000000002,-113.10260873818356,-24.57772230736656,-15.59763776558799,-24.580273923439943
11,2029-Apr-13 14:25,2462240.101,18.699399999999994,23.08237,-112.937521240526,-24.519215547293815,-16.694893543693922,-24.521742569397198
12,2029-Apr-13 14:30,2462240.104,18.549150000000004,22.993129999999997,-112.76911904902371,-24.45927894914189,-17.473243383080103,-24.461786649882956
13,2029-Apr-13 14:35,2462240.108,18.39590000000001,22.901840000000004,-112.59729012367018,-24.39787108129017,-18.56375518705687,-24.40035292058413
14,2029-Apr-13 14:40,2462240.111,18.239560000000015,22.80844,-112.42193236228704,-24.33494860563317,-19.335147256573237,-24.337410242245827
15,2029-Apr-13 14:45,2462240.115,18.08002999999998,22.71284,-112.2429272549756,-24.2704405314191,-20.41848005778411,-24.27287510903461
16,2029-Apr-13 14:50,2462240.118,17.917219999999972,22.614969999999996,-112.06017062645026,-24.20429355012113,-21.182470817295552,-24.206707098138374
17,2029-Apr-13 14:55,2462240.122,17.751019999999997,22.514750000000006,-111.87353634797955,-24.13644811575265,-22.258171506367887,-24.13883347858623
18,2029-Apr-13 15:00,2462240.125,17.581339999999997,22.41211,-111.68292036430998,-24.06685072546963,-23.014300672997535,-24.069214290857314
19,2029-Apr-13 15:05,2462240.128,17.408050000000006,22.306940000000008,-111.48817033893036,-23.995415867938874,-23.76629470431834,-23.99775733512694
20,2029-Apr-13 15:10,2462240.132,17.231040000000004,22.19916,-111.28916036381082,-23.92208365976468,-24.829615263140965,-23.924395483046535
21,2029-Apr-13 15:15,2462240.135,17.050199999999982,22.08868,-111.08576245824358,-23.846784287391213,-25.57295875996749,-23.84907333224772
22,2029-Apr-13 15:20,2462240.139,16.865379999999988,21.975379999999998,-110.87780255988932,-23.76942568423777,-26.627326187926826,-23.77168414721764
23,2029-Apr-13 15:25,2462240.142,16.67646999999998,21.859180000000002,-110.66515505675298,-23.689947543821283,-27.361417645853635,-23.692182612118337
24,2029-Apr-13 15:30,2462240.146,16.483329999999995,21.739950000000004,-110.44765392056877,-23.60824584624958,-28.406240532231777,-23.610449477187533
25,2029-Apr-13 15:35,2462240.149,16.285809999999994,21.617580000000004,-110.2251276256078,-23.524237817670944,-29.130450536139108,-23.52641750314109
26,2029-Apr-13 15:40,2462240.153,16.08375000000001,21.491940000000003,-109.99739057726487,-23.437822692782706,-30.16503396576752,-23.439970170719082
27,2029-Apr-13 15:45,2462240.156,15.877019999999993,21.362920000000003,-109.76429145824017,-23.34891364141903,-30.878668414456683,-23.351036692237113
28,2029-Apr-13 15:50,2462240.16,15.665429999999981,21.230370000000004,-109.52561094820962,-23.257395292188942,-31.90230504985749,-23.259485453698765
29,2029-Apr-13 15:55,2462240.163,15.448820000000012,21.094160000000002,-109.28116403979016,-23.163166168302418,-32.604588912676434,-23.165231492398583
30,2029-Apr-13 16:00,2462240.167,15.227000000000007,20.954119999999993,-109.03072763778806,-23.066090733061486,-33.61646595155264,-23.06812257698089
31,2029-Apr-13 16:05,2462240.17,14.9998,20.810120000000005,-108.77410729521972,-22.966068743322968,-34.306573525284534,-22.96807541211531
32,2029-Apr-13 16:10,2462240.174,14.76701,20.66197,-108.51105636845048,-22.86294802896345,-35.305832561196326,-22.864920720703264
33,2029-Apr-13 16:15,2462240.177,14.528410000000006,20.509510000000002,-108.24132491151937,-22.75660728411312,-35.982826110012695,-22.75855453861769
34,2029-Apr-13 16:20,2462240.181,14.283809999999994,20.35255,-107.96468693261116,-22.646889935417846,-36.9684942594705,-22.648802813128384
35,2029-Apr-13 16:25,2462240.184,14.032960000000013,20.190890000000003,-107.68085499151749,-22.53364002083933,-37.63138436625252,-22.535527275573372
36,2029-Apr-13 16:30,2462240.188,13.77562000000001,20.02434,-107.38955415125508,-22.41670908720288,-38.602386059175956,-22.4185616653708
37,2029-Apr-13 16:35,2462240.191,13.51154,19.85267,-107.09049168415797,-22.29591070500139,-39.25004263789566,-22.297737555032807
38,2029-Apr-13 16:40,2462240.194,13.240460000000022,19.67565,-106.7833654937026,-22.171059661934347,-39.88963413332738,-22.172860780540734
39,2029-Apr-13 16:45,2462240.198,12.962099999999984,19.49305,-106.46785416970948,-22.04197370904218,-40.83641972817668,-22.043739930725263
40,2029-Apr-13 16:50,2462240.201,12.676160000000001,19.3046,-106.1436088007207,-21.90843422545354,-41.45888898718408,-21.91017472671769
41,2029-Apr-13 16:55,2462240.205,12.38232,19.110020000000002,-105.81025928303853,-21.77021557563437,-42.38783269284926,-21.771921132386243
42,2029-Apr-13 17:00,2462240.208,12.080270000000004,18.90905,-105.4674504923232,-21.627109094427478,-42.991735440247965,-21.628789024696324
43,2029-Apr-13 17:05,2462240.212,11.769650000000011,18.701349999999998,-105.11476201987631,-21.478835592812295,-43.901336176321365,-21.480480638435903
44,2029-Apr-13 17:10,2462240.215,11.450099999999981,18.48662,-104.75178276335654,-21.325154081759297,-44.48506534016764,-21.326773677844013
45,2029-Apr-13 17:15,2462240.219,11.121240000000006,18.26451,-104.37807273074574,-21.165776884853436,-45.373640776661375,-21.167361765115473
46,2029-Apr-13 17:20,2462240.222,10.782649999999977,18.03464,-103.99314732924677,-21.00039269814118,-45.935420655745475,-21.001952389340726
47,2029-Apr-13 17:25,2462240.226,10.433909999999996,17.79663,-103.59652358681853,-20.828688760486244,-46.80107833632371,-20.830214013315818
48,2029-Apr-13 17:30,2462240.229,10.074559999999991,17.55006,-103.18767229767059,-20.650318536674895,-47.33892917020114,-20.651818943631678
49,2029-Apr-13 17:35,2462240.233,9.704109999999993,17.2945,-102.76603425976862,-20.46492919809364,-48.179568799759465,-20.466395553918893
50,2029-Apr-13 17:40,2462240.236,9.322049999999987,17.02947,-102.33102259351836,-20.27212033369446,-48.69125608413822,-20.27356226878549
51,2029-Apr-13 17:45,2462240.24,8.927829999999993,16.75446,-101.88200704586927,-20.071466894513343,-49.504514303943154,-20.072875273291007
52,2029-Apr-13 17:50,2462240.243,8.520879999999991,16.468950000000003,-101.41833827077284,-19.862535040201227,-49.98754114813721,-19.863919500702533
53,2029-Apr-13 17:55,2462240.247,8.10058,16.172359999999998,-100.93930834435344,-19.644837981939602,-50.77078110028236,-19.646189486474096
54,2029-Apr-13 18:00,2462240.25,7.6662900000000125,15.864090000000001,-100.44418912505768,-19.41786966078789,-51.22235445434677,-19.41919782178166
55,2029-Apr-13 18:05,2462240.253,7.2172899999999975,15.54348,-99.93216482947037,-19.18107554215732,-51.657021255854374,-19.18238063806943
56,2029-Apr-13 18:10,2462240.257,6.752859999999992,15.20983,-99.40241675422874,-18.933857800879913,-52.38953746088106,-18.935131002255215
57,2029-Apr-13 18:15,2462240.26,6.272209999999996,14.862400000000001,-98.85405372112865,-18.675587068157007,-52.78786216435577,-18.676837862561793
58,2029-Apr-13 18:20,2462240.264,5.774489999999982,14.500400000000003,-98.28612091746595,-18.40559022452878,-53.482189795124725,-18.40680994981387
59,2029-Apr-13 18:25,2462240.267,5.258800000000009,14.122970000000002,-97.69760704995105,-18.12312830362258,-53.84036058706192,-18.124326324920535
60,2029-Apr-13 18:30,2462240.271,4.724189999999983,13.729200000000002,-97.08744915196513,-17.827415420209014,-54.49245930403123,-17.82858326929247
61,2029-Apr-13 18:35,2462240.274,4.169630000000001,13.31812,-96.45450169143044,-17.517613222058102,-54.80619326659746,-17.518760093145836
62,2029-Apr-13 18:40,2462240.278,3.5940199999999916,12.88868,-95.79754422864761,-17.19280845254178,-55.41148848133105,-17.193926099236755
63,2029-Apr-13 18:45,2462240.281,2.9961900000000083,12.439749999999997,-95.11528299843513,-16.85201180004116,-55.67590541874199,-16.853109189136752
64,2029-Apr-13 18:50,2462240.285,2.3748799999999815,11.97015,-94.40633796214621,-16.494189526651958,-56.22920944455427,-16.49525865903223
65,2029-Apr-13 18:55,2462240.288,1.7287300000000034,11.478590000000002,-93.66922383441567,-16.11820451929968,-56.43877020214126,-16.11925407002145
66,2029-Apr-13 19:00,2462240.292,1.0562999999999785,10.963699999999998,-92.90237793709377,-15.722840727846306,-56.93416948178708,-15.723862967753561
67,2029-Apr-13 19:05,2462240.295,0.35602999999999785,10.42401,-92.10411903720575,-15.306788164766983,-57.082582144596074,-15.307791397811844
68,2029-Apr-13 19:10,2462240.299,359.62625,9.857949999999999,-91.27266043353728,-14.868638897552362,-57.51336514319763,-14.869615683023047
69,2029-Apr-13 19:15,2462240.302,358.86516,9.263860000000001,-90.40609499031927,-14.406897555539175,-57.59346788184263,-14.407855731641764
70,2029-Apr-13 19:20,2462240.306,358.07083,8.63996,-89.50239389463547,-13.919948679478743,-57.952004524536505,-13.92088110583406
71,2029-Apr-13 19:25,2462240.309,357.24118,7.984350000000001,-88.55939119431537,-13.40605643146678,-57.95566654372419,-13.406970363412464
72,2029-Apr-13 19:30,2462240.313,356.37397,7.29504,-87.57478393734044,-12.863391712800858,-58.23329344123408,-12.86428031107579
73,2029-Apr-13 19:35,2462240.316,355.46677999999997,6.56991,-86.54611131706497,-12.289991149651712,-58.15128196667382,-12.290860944582718
74,2029-Apr-13 19:40,2462240.319,354.51702,5.806720000000001,-85.47077329136488,-11.683759942120677,-58.02260322432119,-11.684610406829394
75,2029-Apr-13 19:45,2462240.323,353.52188,5.00316,-84.34599605541229,-11.042522817385882,-58.160054366276825,-11.0433475297508
